,,,,,,,,,,,,VIP scores from the PLS-DA analysis,,,,
Protein,Accession Number,Protein Name,Peptides per protein,Mean COVID+,Mean COVID-,Median COVID+,Median COVID-,%CV COVID+,%CV COVID-,Mann-Whitney U Test p value,Fold Change,Comp. 1,Comp. 2,Comp. 3,Comp. 4,Comp. 5
sp|Q9HC84|MUC5B_HUMAN,Q9HC84,Mucin-5B,15,0.016954643,0.010572587,0.013943032,0.008327104,62.75397842,63.17399428,0.4211,1.67,1.0989,1.1719,1.1665,1.1647,1.165
sp|P0DUB6|AMY1A_HUMAN,P0DUB6,Alpha-amylase 1A,15,0.367665954,0.439566402,0.371972714,0.477420265,31.21309752,42.78148646,0.5481,0.78,0.73269,0.84262,0.83978,0.83971,0.83947
sp|P02768|ALBU_HUMAN,P02768,Albumin,14,0.095880099,0.172018646,0.117508475,0.145749585,44.36238469,73.35810423,0.4211,0.81,1.1915,1.1924,1.1945,1.1945,1.1944
sp|P01024|CO3_HUMAN,P01024,Complement C3,14,0.001509969,0.002236927,0.001635604,0.00197377,41.26719115,55.59990942,0.4211,0.83,1.1006,1.1369,1.138,1.1366,1.1364
sp|P01833|PIGR_HUMAN,P01833,Polymeric immunoglobulin receptor,15,0.125694287,0.057318437,0.087949091,0.055253826,87.58576996,45.56063814,0.1511,1.59,1.2332,1.2279,1.2274,1.2259,1.2259
sp|P01023|A2MG_HUMAN,P01023,Alpha-2-macroglobulin,13,0.000589676,0.001417007,0.0004693,0.00136681,53.01308955,35.05474851,0.0321,0.34,2.1575,2.073,2.0651,2.0622,2.0616
sp|P02788|TRFL_HUMAN,P02788,Lactotransferrin,15,0.008821933,0.016229568,0.008697211,0.01334599,32.43672712,35.63774941,0.0321,0.65,1.902,1.8226,1.8126,1.8099,1.8094
sp|A8K2U0|A2ML1_HUMAN,A8K2U0,Alpha-2-macroglobulin-like protein 1,15,0.003343828,0.00202643,0.00274368,0.001084474,72.64038649,65.30789303,0.4211,2.53,1.0117,1.0788,1.0795,1.0784,1.0781
sp|Q9Y6R7|FCGBP_HUMAN,Q9Y6R7,IgGFc-binding protein,10,0.00027764,0.000493189,0.000163972,0.000437947,68.99928183,62.46791646,0.1511,0.37,1.2239,1.171,1.1863,1.1888,1.1885
sp|P02787|TRFE_HUMAN,P02787,Serotransferrin,15,0.003825895,0.005845413,0.003848396,0.005585229,42.35703599,76.45118468,0.4211,0.69,0.916,0.92146,0.92885,0.9319,0.93188
sp|P35579|MYH9_HUMAN,P35579,Myosin-9,8,0.000340771,0.000283314,0.000237392,0.000292109,98.67092634,31.91832316,1.0001,0.81,0.38151,0.39015,0.40104,0.40811,0.40825
sp|P0C0L4|CO4A_HUMAN,P0C0L4,Complement C4-A,1,1.48489E-05,1.79308E-05,6.12559E-06,1.73404E-05,124.3671925,86.32077262,0.8411,0.35,0.28472,0.51236,0.51746,0.52049,0.52043
sp|P01876|IGHA1_HUMAN,P01876,Immunoglobulin heavy constant alpha 1,14,0.041586565,0.025587518,0.035414165,0.027929064,47.72161652,60.62594713,0.2221,1.27,1.2648,1.2755,1.2693,1.2675,1.2672
sp|P04114|APOB_HUMAN,P04114,Apolipoprotein B-100,6,8.82925E-05,0.000132213,7.23257E-05,0.000118817,48.41704077,70.68780473,0.8411,0.61,0.93152,0.95948,0.96912,0.96826,0.96815
sp|O43707|ACTN4_HUMAN,O43707,Alpha-actinin-4,8,0.000209545,0.000222561,0.000194417,0.000219526,35.69807432,34.69219746,0.5481,0.89,0.29652,0.59643,0.59314,0.59285,0.59356
sp|P11215|ITAM_HUMAN,P11215,Integrin alpha-M,13,0.000636705,0.000581659,0.000483885,0.000475909,90.67892061,53.92878478,0.8411,1.02,0.1617,0.22914,0.25174,0.2655,0.266
sp|P13796|PLSL_HUMAN,P13796,Plastin-2,15,0.001422839,0.001467393,0.001339094,0.001250681,54.34311464,31.05820455,1.0001,1.07,0.13492,0.27069,0.29717,0.3047,0.30481
sp|Q9UGM3|DMBT1_HUMAN,Q9UGM3,Deleted in malignant brain tumors 1 protein,14,0.001353081,0.001286815,0.001397529,0.00096855,30.36576912,61.7306129,0.6901,1.44,0.12806,0.12945,0.14514,0.15202,0.15234
sp|P01037|CYTN_HUMAN,P01037,Cystatin-SN,8,0.015275504,0.019451935,0.011058656,0.017724021,103.9642838,34.11074773,0.4211,0.62,0.53788,0.60671,0.60405,0.60345,0.60336
sp|Q8TDL5|BPIB1_HUMAN,Q8TDL5,BPI fold-containing family B member 1,14,0.005885663,0.001429861,0.005903395,0.000809811,74.93399203,111.9441564,0.0561,7.29,1.7251,1.6957,1.6866,1.6844,1.6842
sp|P06737|PYGL_HUMAN,P06737,"Glycogen phosphorylase, liver form",6,0.000204368,0.000154033,0.000139498,0.000148267,99.3702942,24.96460795,1.0001,0.94,0.51609,0.52058,0.52111,0.53092,0.53078
